Data e Ora;Temp;Rugiada;Pressione;Umidita'
01-01-17 00:00;4.6;2.1;1028;84
01-01-17 00:14;4.6;2.1;1027.7;84
01-01-17 00:29;4.6;2.1;1027.7;84
01-01-17 00:44;4.5;2.1;1027.7;84
01-01-17 01:00;4.5;2.2;1027.7;85
01-01-17 01:14;4.5;2.2;1027.3;85
01-01-17 01:30;4.4;2.1;1027.3;85
01-01-17 01:44;4.3;2;1027.3;85
01-01-17 02:00;4.3;2;1027.3;85
01-01-17 02:14;4.2;2.1;1027.3;86
01-01-17 02:30;4.2;2.1;1027.3;86
01-01-17 02:44;4.2;2.1;1027.3;86
01-01-17 02:59;4.1;1.9;1027.3;86
01-01-17 03:14;4.1;1.9;1027.7;86
01-01-17 03:30;3.9;1.8;1027.7;86
01-01-17 03:44;3.9;1.9;1027.7;87
01-01-17 04:00;3.8;1.8;1027.7;87
01-01-17 04:14;3.8;1.8;1027.7;87
01-01-17 04:29;3.7;1.7;1027.3;87
01-01-17 04:44;3.7;1.9;1027.3;88
01-01-17 04:59;3.7;1.9;1027.3;88
01-01-17 05:14;3.7;1.9;1027.3;88
01-01-17 05:29;3.7;1.9;1027.3;88
01-01-17 05:44;3.6;1.8;1027.3;88
01-01-17 05:59;3.7;1.9;1027.3;88
01-01-17 06:14;3.7;1.9;1027.3;88
01-01-17 06:29;3.7;1.9;1027.3;88
01-01-17 06:44;3.8;2;1027.3;88
01-01-17 07:00;3.8;2;1027.3;88
01-01-17 07:14;3.9;2.1;1027.3;88
01-01-17 07:29;3.9;2.1;1027.7;88
01-01-17 07:44;3.9;2.1;1027.3;88
01-01-17 07:59;3.9;1.9;1027.3;87
01-01-17 08:14;4;2.1;1027.3;87
01-01-17 08:29;4;2.1;1027.7;87
01-01-17 08:44;4;2.1;1027.7;87
01-01-17 09:00;4.1;2.1;1027.7;87
01-01-17 09:14;4.1;1.9;1027.7;86
01-01-17 09:29;4.1;1.9;1027.7;86
01-01-17 09:44;4.2;2.1;1028;86
01-01-17 10:00;4.3;2.2;1027.7;86
01-01-17 10:14;4.4;2.4;1028;87
01-01-17 10:29;4.5;2.3;1028;86
01-01-17 10:44;4.6;2.4;1028;86
01-01-17 10:59;4.6;2.4;1028;86
01-01-17 11:14;4.7;2.6;1028;86
01-01-17 11:29;4.8;2.7;1028;86
01-01-17 11:44;5;2.8;1027.7;86
01-01-17 11:59;5.1;2.8;1027.7;85
01-01-17 12:14;5.1;2.6;1027.7;84
01-01-17 12:29;5.1;2.6;1027.3;84
01-01-17 12:45;5.2;2.6;1027.3;83
01-01-17 12:59;5.3;2.7;1027;83
01-01-17 13:14;5.3;2.5;1026.6;82
01-01-17 13:29;5.3;2.3;1026.3;81
01-01-17 13:44;5.3;2.3;1026.3;81
01-01-17 13:59;5.5;2.2;1026.3;79
01-01-17 14:14;5.6;2.2;1026;79
01-01-17 14:29;5.5;2.2;1026;79
01-01-17 14:44;5.4;2.1;1025.6;79
01-01-17 14:59;5.4;2.1;1025.6;79
01-01-17 15:14;5.3;1.9;1025.6;79
01-01-17 15:29;5.3;1.9;1025.6;79
01-01-17 15:44;5.3;2.1;1025.6;80
01-01-17 16:00;5.3;2.1;1025.3;80
01-01-17 16:14;5.2;2.1;1025.6;80
01-01-17 16:29;5.2;2.1;1025.3;80
01-01-17 16:44;5.2;2.1;1025.3;80
01-01-17 16:59;5.2;2.1;1025.6;80
01-01-17 17:14;5.1;1.9;1025.3;80
01-01-17 17:29;5.1;1.9;1025.6;80
01-01-17 17:44;5.1;2.1;1025.6;81
01-01-17 17:59;5;2;1025.3;81
01-01-17 18:14;4.9;1.9;1025.6;81
01-01-17 18:29;4.9;1.9;1025.6;81
01-01-17 18:44;4.9;1.9;1025.3;81
01-01-17 18:59;5;2;1025.3;81
01-01-17 19:14;5;2;1025.3;81
01-01-17 19:29;5;2;1025.3;81
01-01-17 19:44;4.9;1.9;1025.3;81
01-01-17 19:59;4.9;1.9;1025.6;81
01-01-17 20:14;4.9;1.9;1025.6;81
01-01-17 20:29;4.9;1.9;1025.3;81
01-01-17 20:44;5;2;1025.3;81
01-01-17 20:59;5;2.2;1025.3;82
01-01-17 21:14;4.9;2.1;1025.3;82
01-01-17 21:29;5;2.2;1024.9;82
01-01-17 21:44;5;2.2;1025.3;82
01-01-17 21:59;4.9;2.1;1025.3;82
01-01-17 22:14;4.9;2.1;1024.9;82
01-01-17 22:29;4.9;2.1;1024.9;82
01-01-17 22:44;4.9;2.3;1024.9;83
01-01-17 22:59;4.9;2.3;1024.6;83
01-01-17 23:14;5;2.3;1024.6;83
01-01-17 23:29;5;2.3;1024.6;83
01-01-17 23:44;4.9;2.1;1024.6;82
01-01-17 23:59;4.8;2;1024.6;82
02-01-17 00:14;4.7;1.9;1024.6;82
02-01-17 00:29;4.7;1.9;1024.3;82
02-01-17 00:44;4.7;1.9;1024.3;82
02-01-17 00:59;4.7;1.9;1023.9;82
02-01-17 01:14;4.6;1.8;1023.9;82
02-01-17 01:29;4.6;1.8;1023.6;82
02-01-17 01:44;4.5;1.9;1023.6;83
02-01-17 01:59;4.4;1.8;1023.6;83
02-01-17 02:14;4.3;1.7;1023.2;83
02-01-17 02:29;4.3;1.7;1023.6;83
02-01-17 02:44;4.3;1.7;1023.2;83
02-01-17 02:59;4.3;1.7;1023.2;83
02-01-17 03:14;4.2;1.7;1023.2;84
02-01-17 03:29;4.2;1.7;1022.9;84
02-01-17 03:44;4.1;1.6;1022.9;84
02-01-17 03:59;4.1;1.8;1022.6;85
02-01-17 04:14;4;1.9;1022.2;86
02-01-17 04:29;4;1.9;1022.2;86
02-01-17 04:44;3.9;1.9;1021.9;87
02-01-17 04:59;3.9;1.9;1021.9;87
02-01-17 05:14;3.8;1.8;1021.6;87
02-01-17 05:29;3.8;2;1021.9;88
02-01-17 05:44;3.8;2;1021.6;88
02-01-17 05:59;3.7;1.9;1021.2;88
02-01-17 06:14;3.7;2.1;1021.2;89
02-01-17 06:29;3.7;2.1;1021.2;89
02-01-17 06:44;3.7;2.1;1021.2;89
02-01-17 06:59;3.7;2.1;1021.2;89
02-01-17 07:14;3.7;2.1;1021.2;89
02-01-17 07:29;3.7;2.1;1021.2;89
02-01-17 07:44;3.7;2.1;1020.9;89
02-01-17 07:59;3.6;1.9;1020.9;89
02-01-17 08:14;3.7;2.2;1020.9;90
02-01-17 08:29;3.6;2.1;1020.9;90
02-01-17 08:44;3.6;2.1;1020.5;90
02-01-17 08:59;3.7;2.2;1020.9;90
02-01-17 09:14;3.7;2.2;1020.9;90
02-01-17 09:29;3.7;2.2;1020.5;90
02-01-17 09:44;3.7;2.2;1020.5;90
02-01-17 09:59;3.7;2.2;1020.5;90
02-01-17 10:14;3.8;2.3;1020.5;90
02-01-17 10:29;3.8;2.3;1020.5;90
02-01-17 10:44;3.8;2.3;1020.5;90
02-01-17 10:59;3.7;2.2;1020.5;90
02-01-17 11:14;3.7;2.4;1020.2;91
02-01-17 11:29;3.6;2.3;1019.9;91
02-01-17 11:44;3.5;2.2;1019.9;91
02-01-17 11:59;3.4;2.1;1019.5;91
02-01-17 12:14;3.4;2.1;1019.5;91
02-01-17 12:29;3.4;2.1;1019.2;91
02-01-17 12:44;3.3;1.9;1018.8;91
02-01-17 12:59;3.6;2.3;1018.2;91
02-01-17 13:14;3.5;2.2;1018.2;91
02-01-17 13:29;3.4;2.1;1018.2;91
02-01-17 13:44;3.3;1.9;1018.2;91
02-01-17 13:59;3.3;2.1;1017.5;92
02-01-17 14:14;3.3;2.1;1017.8;92
02-01-17 14:29;3.4;2.2;1017.5;92
02-01-17 14:44;3.4;2.2;1017.5;92
02-01-17 14:59;3.4;2.2;1017.5;92
02-01-17 15:14;3.4;2.2;1017.2;92
02-01-17 15:29;3.3;2.1;1017.2;92
02-01-17 15:44;3.4;2.2;1016.8;92
02-01-17 15:59;3.3;2.1;1016.8;92
02-01-17 16:14;3.1;1.9;1016.5;92
02-01-17 16:29;3.1;1.9;1016.8;92
02-01-17 16:44;3.1;1.9;1016.8;92
02-01-17 16:59;3;1.8;1016.5;92
02-01-17 17:14;2.9;1.7;1016.8;92
02-01-17 17:29;2.9;1.7;1016.8;92
02-01-17 17:44;2.8;1.6;1016.8;92
02-01-17 17:59;2.8;1.6;1016.5;92
02-01-17 18:14;2.7;1.6;1016.5;92
02-01-17 18:29;2.7;1.6;1016.1;92
02-01-17 18:44;2.7;1.6;1016.1;92
02-01-17 18:59;2.7;1.6;1016.1;92
02-01-17 19:14;2.6;1.6;1016.1;93
02-01-17 19:29;2.6;1.6;1016.1;93
02-01-17 19:44;2.6;1.6;1015.8;93
02-01-17 19:59;2.6;1.4;1015.8;92
02-01-17 20:14;2.6;1.6;1015.8;93
02-01-17 20:29;2.6;1.6;1015.5;93
