"Annoscolastico","Provincia","Comune","GradoScolastico","Numeroscuole","Numtotclassi","Numtotiscrittifemmine","Numtotiscrittimaschi","Numtotaleiscritti"
"2022-2023","CUNEO","BAGNOLO PIEMONTE","3 - Scuola secondaria di I grado","1","9","81","90","171"
"2022-2023","NOVARA","CAMERI","1 - Scuola dell'infanzia","2","11","94","111","205"
"2022-2023","CUNEO","CANALE","3 - Scuola secondaria di I grado","1","10","102","100","202"
"2022-2023","BIELLA","CAVAGLIA'","2 - Scuola primaria","1","8","49","79","128"
"2022-2023","VERCELLI","CELLIO CON BREIA","1 - Scuola dell'infanzia","1","1","7","5","12"
"2022-2023","ALESSANDRIA","CREMOLINO","1 - Scuola dell'infanzia","1","1","10","8","18"
"2022-2023","CUNEO","FARIGLIANO","2 - Scuola primaria","1","5","43","46","89"
"2022-2023","ASTI","MONASTERO BORMIDA","1 - Scuola dell'infanzia","1","1","20","6","26"
"2022-2023","TORINO","MONTALTO DORA","1 - Scuola dell'infanzia","2","3","27","27","54"
"2022-2023","VERBANO-CUSIO-OSSOLA","OMEGNA","2 - Scuola primaria","6","35","271","264","535"
"2022-2023","TORINO","PECETTO TORINESE","1 - Scuola dell'infanzia","2","4","36","33","69"
"2022-2023","CUNEO","PEVERAGNO","2 - Scuola primaria","2","13","107","108","215"
"2022-2023","TORINO","PINEROLO","2 - Scuola primaria","9","75","737","775","1512"
"2022-2023","NOVARA","PRATO SESIA","2 - Scuola primaria","1","5","35","33","68"
"2022-2023","CUNEO","SANTA VITTORIA D'ALBA","1 - Scuola dell'infanzia","2","3","34","30","64"
"2022-2023","VERCELLI","SERRAVALLE SESIA","3 - Scuola secondaria di I grado","1","6","50","58","108"
"2022-2023","ALESSANDRIA","VILLALVERNIA","2 - Scuola primaria","1","5","13","20","33"
"2022-2023","ALESSANDRIA","BASALUZZO","3 - Scuola secondaria di I grado","1","3","31","34","65"
"2022-2023","VERBANO-CUSIO-OSSOLA","BEURA-CARDEZZA","2 - Scuola primaria","1","5","24","25","49"
"2022-2023","CUNEO","BOSSOLASCO","2 - Scuola primaria","1","5","13","19","32"
"2022-2023","TORINO","BRICHERASIO","3 - Scuola secondaria di I grado","1","9","91","87","178"
"2022-2023","TORINO","AVIGLIANA","4 - Scuola secondaria di II grado","6","54","366","552","918"
